Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,60.009998,60.029999,60.009998,60.029999,56.880962,17700
2009-11-24,60.029999,60.060001,60.020000,60.029999,56.880962,27100
2009-11-25,60.110001,60.160000,60.070000,60.099998,56.947262,18800
2009-11-27,60.189999,60.189999,60.099998,60.119999,56.966228,1200
2009-11-30,60.119999,60.150002,60.119999,60.150002,56.994663,10700
2009-12-01,60.160000,60.180000,60.160000,60.160000,57.004135,4800
2009-12-02,60.169998,60.169998,60.110001,60.110001,56.956741,1400
2009-12-03,60.099998,60.099998,60.029999,60.090000,56.937794,1900
2009-12-04,60.009998,60.009998,59.990002,60.000000,56.852531,2500
2009-12-07,60.020000,60.029999,60.009998,60.029999,56.880962,7600
2009-12-08,60.090000,60.090000,60.080002,60.080002,56.928337,7000
2009-12-09,60.099998,60.099998,60.099998,60.099998,56.947262,2100
2009-12-10,60.060001,60.070000,60.060001,60.060001,56.909367,6000
2009-12-11,60.020000,60.020000,60.020000,60.020000,56.871464,1700
2009-12-14,59.990002,60.020000,59.990002,60.020000,56.871464,7600
2009-12-15,59.980000,59.980000,59.919998,59.959999,56.814621,3200
2009-12-16,60.009998,60.009998,60.000000,60.009998,56.861996,2700
2009-12-17,60.040001,60.080002,60.029999,60.080002,56.928337,7100
2009-12-18,60.049999,60.060001,60.049999,60.060001,56.909367,2200
2009-12-21,60.040001,60.040001,59.990002,59.990002,56.843029,24300
2009-12-22,59.980000,59.990002,59.970001,59.970001,56.824104,6100
2009-12-23,59.970001,59.970001,59.919998,59.919998,56.776722,5700
2009-12-24,59.869999,59.869999,59.840000,59.849998,56.753948,4400
2009-12-28,59.820000,59.820000,59.779999,59.779999,56.687576,4400
2009-12-29,59.790001,59.790001,59.770000,59.770000,56.678097,3100
2009-12-30,59.770000,59.799999,59.770000,59.799999,56.706539,1400
2009-12-31,59.720001,59.720001,59.669998,59.669998,56.583256,800
2010-01-04,59.770000,59.770000,59.759998,59.759998,56.668633,1700
2010-01-05,59.869999,59.889999,59.869999,59.880001,56.782440,2200
2010-01-06,59.869999,59.869999,59.799999,59.840000,56.744484,38600
2010-01-07,59.849998,59.849998,59.849998,59.849998,56.753948,1400
2010-01-08,59.900002,59.900002,59.869999,59.900002,56.801388,1900
2010-01-11,59.900002,59.959999,59.900002,59.959999,56.858265,1700
2010-01-12,60.000000,60.000000,59.930000,59.930000,56.829815,7300
2010-01-13,59.970001,59.990002,59.939999,59.950001,56.848797,3800
2010-01-14,59.970001,60.000000,59.970001,60.000000,56.896202,10000
2010-01-15,60.029999,60.049999,60.029999,60.049999,56.943607,1000
2010-01-19,60.040001,60.060001,59.980000,60.060001,56.953110,131700
2010-01-20,60.049999,60.060001,60.040001,60.040001,56.934147,2700
2010-01-21,60.040001,60.110001,60.029999,60.110001,57.000515,10600
2010-01-22,60.080002,60.139999,60.080002,60.139999,57.028980,5900
2010-01-25,60.110001,60.119999,60.099998,60.119999,57.009983,9000
2010-01-26,60.110001,60.110001,60.060001,60.090000,56.981541,26500
2010-01-27,60.139999,60.150002,60.080002,60.080002,56.972050,5200
2010-01-28,60.090000,60.130001,60.090000,60.130001,57.019459,10600
2010-01-29,60.080002,60.119999,60.060001,60.119999,57.035603,3300
2010-02-01,60.099998,60.250000,60.060001,60.099998,57.016624,16400
2010-02-02,60.119999,60.119999,60.080002,60.119999,57.035603,25600
2010-02-03,60.099998,60.110001,60.080002,60.080002,56.997646,11900
2010-02-04,60.130001,60.189999,60.130001,60.160000,57.073559,4600
2010-02-05,60.130001,60.230000,60.130001,60.220001,57.130470,42200
2010-02-08,60.200001,60.200001,60.189999,60.200001,57.111473,7500
2010-02-09,60.180000,60.200001,60.110001,60.130001,57.045101,16700
2010-02-10,60.119999,60.119999,60.070000,60.080002,56.997646,23400
2010-02-11,60.090000,60.110001,60.070000,60.090000,57.007145,3600
2010-02-12,60.139999,60.150002,60.139999,60.139999,57.054569,6600
2010-02-16,60.139999,60.189999,60.070000,60.180000,57.092525,43600
2010-02-17,60.139999,60.150002,60.080002,60.119999,57.035603,12900
2010-02-18,60.119999,60.130001,60.090000,60.090000,57.007145,2800
2010-02-19,60.060001,60.060001,60.020000,60.040001,56.959702,3100
2010-02-22,60.080002,60.099998,60.049999,60.099998,57.016624,7200
2010-02-23,60.099998,60.150002,60.099998,60.150002,57.064087,1700
2010-02-24,60.139999,60.150002,60.130001,60.130001,57.045101,7100
2010-02-25,60.180000,60.230000,60.130001,60.200001,57.111473,14200
2010-02-26,60.169998,60.200001,60.150002,60.180000,57.123817,8800
2010-03-01,60.139999,60.209999,60.139999,60.209999,57.152309,17500
2010-03-02,60.189999,60.220001,60.189999,60.220001,57.161812,4400
